value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"63,72",7,3,PR,41,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"53,54",13,2,RJ,33,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"22,49",24,1,RN,24,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"65,94",6,3,RO,11,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"74,69",4,3,RR,14,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"75,46",3,3,RS,43,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"71,86",5,3,SC,42,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"37,78",20,1,SE,28,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"60,83",10,2,SP,35,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"53,85",12,2,TO,17,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"17,7",24,1,AC,12,comp_bem_estar_social_e_cidadania__assistencia_social,ASSISTÊNCIA SOCIAL,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"58,14",12,2,AL,27,comp_bem_estar_social_e_cidadania__assistencia_social,ASSISTÊNCIA SOCIAL,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"29,74",23,1,AM,13,comp_bem_estar_social_e_cidadania__assistencia_social,ASSISTÊNCIA SOCIAL,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
